OpenAlias asset_type,Asset Common Name,CAIP-19 suffix,,
uco,Archethic,/slip44:650,,
sfx,Safex Cash,/slip44:651,,
sft,Safex Token,/slip44:652,,
wsfx,Wrapped Safex Cash,/slip44:653,,
usdg,US Digital Gold,/slip44:654,,
wmp,WAMP,/slip44:655,,
ekta,Ekta,/slip44:656,,
yda,YadaCoin,/slip44:657,,
whive,Whive,/slip44:658,,
koin,Koinos,/slip44:659,,
pirate,PirateCash,/slip44:660,,
unq,Unique,/slip44:661,,
ulm,UltonSmartchain,/slip44:662,,
sfrx,EtherGem Sapphire,/slip44:663,,
bsty,GlobalBoost-Y,/slip44:664,,
imp,Impact Protocol,/slip44:665,,
act,Achain,/slip44:666,,
prkl,Perkle,/slip44:667,,
ssc,SelfSell,/slip44:668,,
gc,GateChain,/slip44:669,,
plgr,Pledger,/slip44:670,,
mplgr,Pledger,/slip44:671,,
knox,Knox,/slip44:672,,
zed,ZED,/slip44:673,,
cndl,Candle,/slip44:674,,
wlkr,Walker Crypto Innovation Index,/slip44:675,,
wlkrr,Walker,/slip44:676,,
yunge,Yunge,/slip44:677,,
voken,Voken,/slip44:678,,
apl,Apollo,/slip44:679,,
evrynet,Evrynet,/slip44:680,,
neng,Nengcoin,/slip44:681,,
chta,Cheetahcoin,/slip44:682,,
aleo,Aleo Network,/slip44:683,,
hms,Hemis,/slip44:684,,
oas,Oasys,/slip44:685,,
kar,Karura Network,/slip44:686,,
flon,FullOn Network,/slip44:687,,
cet,CoinEx Chain,/slip44:688,,
xlink,XLink Chain,/slip44:689,,
klv,KleverChain,/slip44:690,,
tnt,Tangle,/slip44:691,,
vtbc,VTB Community,/slip44:694,,
veil,Veil,/slip44:698,,
gtb,GotaBit,/slip44:699,,
xdai,xDai,/slip44:700,,
com,Commercio,/slip44:701,,
ccc,Commercio Cash Credit,/slip44:702,,
snr,Sonr,/slip44:703,,
raq,Ra Quantum,/slip44:704,,
peg,Pegasus Token,/slip44:705,,
lkg,Lionking,/slip44:706,,
mcoin,Moneta Coin,/slip44:707,,
avail,Avail,/slip44:709,,
fury,Highbury,/slip44:710,,
chc,Chaincoin,/slip44:711,,
serf,Serfnet,/slip44:712,,
xtl,Katal Chain,/slip44:713,,
bnb,Binance,/slip44:714,,
sin,Sinovate,/slip44:715,,
dln,Delion,/slip44:716,,
bonte,Bontecoin,/slip44:717,,
peer,Peer,/slip44:718,,
zet,Zetacoin,/slip44:719,,
aby,Artbyte,/slip44:720,,
pgx,Mirai Chain,/slip44:721,,
il8p,InfiniLooP,/slip44:722,,
voi,Voi,/slip44:723,,
xvc,Vanillacash,/slip44:724,,
mcx,MultiCash,/slip44:725,,
blu,BluCrates,/slip44:727,,
bfc,BFC,/slip44:728,,
healios,Tenacity,/slip44:730,,
bmk,Bitmark,/slip44:731,,
dentx,DENTNet,/slip44:734,,
atop,Financial Blockchain,/slip44:737,,
cfg,Centrifuge,/slip44:747,,
xprt,Persistence,/slip44:750,,
honey,HoneyWood,/slip44:757,,
ballz,Ballzcoin,/slip44:768,,
cosa,Cosanta,/slip44:770,,
br,BR,/slip44:771,,
csb,CosmoBliss,/slip44:773,,
plsr,Pulsar Coin,/slip44:775,,
key,Keymaker Coin,/slip44:776,,
btw,Bitcoin World,/slip44:777,,
plcuc,PLC Ultima Classic,/slip44:780,,
plcux,PLC Ultima X,/slip44:781,,
plcu,PLC Ultima,/slip44:782,,
smartbc,SMART Blockchain,/slip44:783,,
sui,Sui,/slip44:784,,
uidd,UIDD,/slip44:786,,
aca,Acala,/slip44:787,,
bnc,Bifrost,/slip44:788,,
tau,Lamden,/slip44:789,,
intr,Interlay,/slip44:794,,
kint,Kintsugi,/slip44:795,,
pdex,Polkadex,/slip44:799,,
beet,Beetle Coin,/slip44:800,,
dst,DSTRA,/slip44:801,,
cy,Cyberyen,/slip44:802,,
ryme,Ryme Network,/slip44:803,,
zks,zkSync,/slip44:804,,
qvt,Qvolta,/slip44:808,,
sdn,Shiden Network,/slip44:809,,
